date,value
2016-03-16,104.590323
2016-03-17,104.593871
2016-03-18,104.606452
2016-03-21,104.629355
2016-03-22,104.66
2016-03-24,104.66129
2016-03-25,104.665807
2016-03-28,104.65871
2016-03-29,104.67129
2016-03-30,104.666774
2016-03-31,104.671936
2016-04-01,104.675807
2016-04-04,104.665484
2016-04-05,104.638387
2016-04-06,104.638065
2016-04-07,104.634194
2016-04-08,104.633871
2016-04-11,104.649677
2016-04-12,104.66129
2016-04-13,104.654516
2016-04-14,104.635807
2016-04-15,104.638065
2016-04-18,104.649355
2016-04-19,104.685807
2016-04-20,104.692258
2016-04-21,104.675484
2016-04-22,104.683871
2016-04-25,104.683226
2016-04-26,104.722581
2016-04-27,104.742903
2016-04-28,104.740323
2016-04-29,104.74871
2016-05-02,104.691613
2016-05-03,104.678065
2016-05-04,104.708387
2016-05-05,104.622581
2016-05-06,104.619677
2016-05-09,104.632258
2016-05-10,104.647742
2016-05-11,104.605807
2016-05-12,104.615807
2016-05-13,104.618065
2016-05-16,104.634516
2016-05-17,104.662258
2016-05-18,104.660645
2016-05-19,104.670645
2016-05-20,104.696129
2016-05-23,104.740645
2016-05-24,104.739032
2016-05-25,104.724194
2016-05-26,104.721613
2016-05-27,104.727419
2016-05-30,104.753871
2016-05-31,104.76129
2016-06-01,104.749677
2016-06-02,104.665807
2016-06-03,104.651936
2016-06-06,104.614194
2016-06-08,104.575161
2016-06-09,104.429355
2016-06-10,104.213548
2016-06-13,104.277742
2016-06-14,104.55
2016-06-15,104.544194
2016-06-16,104.526452
2016-06-17,104.577419
2016-06-20,104.638065
2016-06-21,104.64
2016-06-22,104.637742
2016-06-23,104.655484
2016-06-24,104.679355
2016-06-27,104.709677
2016-06-28,104.686129
2016-06-29,104.642903
2016-06-30,104.649032
2016-07-04,104.705807
2016-07-11,104.743226
2016-07-12,104.74
2016-07-13,104.74871
2016-07-14,104.740968
2016-07-15,104.739355
2016-07-18,104.74129
2016-07-19,104.747742
2016-07-20,104.739032
2016-07-21,104.733871
2016-07-22,104.734839
2016-07-25,104.744194
2016-07-26,104.744516
2016-07-27,104.739677
2016-07-28,104.73871
2016-07-29,104.738065
2016-08-01,104.740323
