Country,Indicator,Date,Close,Source,Frequency
akistan,Exchange Rate,7/2/2021,157.5,Trading Economics,Daily
akistan,Exchange Rate,7/1/2021,157.8,Trading Economics,Daily
akistan,Exchange Rate,6/30/2021,157.53,Trading Economics,Daily
akistan,Exchange Rate,6/29/2021,158.1,Trading Economics,Daily
akistan,Exchange Rate,6/28/2021,157.75,Trading Economics,Daily
akistan,Exchange Rate,6/26/2021,157.45,Trading Economics,Daily
akistan,Exchange Rate,6/25/2021,157.6,Trading Economics,Daily
akistan,Exchange Rate,6/24/2021,157.6,Trading Economics,Daily
akistan,Exchange Rate,6/23/2021,157.8,Trading Economics,Daily
akistan,Exchange Rate,6/22/2021,157.75,Trading Economics,Daily
akistan,Exchange Rate,6/21/2021,157,Trading Economics,Daily
akistan,Exchange Rate,6/20/2021,155.65,Trading Economics,Daily
akistan,Exchange Rate,6/18/2021,156.5,Trading Economics,Daily
akistan,Exchange Rate,6/17/2021,156.65,Trading Economics,Daily
akistan,Exchange Rate,6/16/2021,156.5,Trading Economics,Daily
akistan,Exchange Rate,6/15/2021,156.25,Trading Economics,Daily
